created_at,Replies,Retweets,Likes,Volume,textblob_average,NLTK_average,textblob_weighted,NLTK_weighted,Replies_lag1,Replies_lag2,Replies_lag3,Retweets_lag1,Retweets_lag2,Retweets_lag3,Likes_lag1,Likes_lag2,Likes_lag3,Volume_lag1,Volume_lag2,Volume_lag3,textblob_average_lag1,textblob_average_lag2,textblob_average_lag3,NLTK_average_lag1,NLTK_average_lag2,NLTK_average_lag3,textblob_weighted_lag1,textblob_weighted_lag2,textblob_weighted_lag3,NLTK_weighted_lag1,NLTK_weighted_lag2,NLTK_weighted_lag3
2018-01-01,5085,19064,58481,191,0.12193696096556979,0.23824869109947644,0.07530831899565517,0.20337405482122406,6641.0,4262.0,5726.0,29114.0,17413.0,28785.0,60077.0,47708.0,56032.0,248.0,279.0,305.0,0.12564480011663928,0.09431354569655419,0.10897197387463779,0.24432177419354828,0.16264050179211467,0.17666426229508192,0.16302870256812496,0.08488984797121829,0.12081727051179217,0.22971874927176797,0.11479404292781095,0.21499117111650481
2018-01-02,7149,37409,74657,330,0.11122051883827452,0.15632030303030292,0.07704015352633342,0.17033265735296083,5085.0,6641.0,4262.0,19064.0,29114.0,17413.0,58481.0,60077.0,47708.0,191.0,248.0,279.0,0.12193696096556979,0.12564480011663928,0.09431354569655419,0.23824869109947644,0.24432177419354828,0.16264050179211467,0.07530831899565517,0.16302870256812496,0.08488984797121829,0.20337405482122406,0.22971874927176797,0.11479404292781095
2018-01-03,6559,47072,130946,389,0.15343227898972944,0.24647917737789168,0.11687541236110066,0.18297997418783318,7149.0,5085.0,6641.0,37409.0,19064.0,29114.0,74657.0,58481.0,60077.0,330.0,191.0,248.0,0.11122051883827452,0.12193696096556979,0.12564480011663928,0.15632030303030292,0.23824869109947644,0.24432177419354828,0.07704015352633342,0.07530831899565517,0.16302870256812496,0.17033265735296083,0.20337405482122406,0.22971874927176797
2018-01-04,6024,20556,56544,307,0.1077830390571509,0.16572703583061876,0.11466709396032794,0.16235916985002824,6559.0,7149.0,5085.0,47072.0,37409.0,19064.0,130946.0,74657.0,58481.0,389.0,330.0,191.0,0.15343227898972944,0.11122051883827452,0.12193696096556979,0.24647917737789168,0.15632030303030292,0.23824869109947644,0.11687541236110066,0.07704015352633342,0.07530831899565517,0.18297997418783318,0.17033265735296083,0.20337405482122406
2018-01-05,6366,24336,48353,270,0.09478578739015242,0.22334851851851847,0.1031644022531373,0.17381031373441155,6024.0,6559.0,7149.0,20556.0,47072.0,37409.0,56544.0,130946.0,74657.0,307.0,389.0,330.0,0.1077830390571509,0.15343227898972944,0.11122051883827452,0.16572703583061876,0.24647917737789168,0.15632030303030292,0.11466709396032794,0.11687541236110066,0.07704015352633342,0.16235916985002824,0.18297997418783318,0.17033265735296083
2018-01-06,4349,17467,51715,251,0.08141802538154626,0.17893386454183266,0.0362122632442112,0.17003082471236583,6366.0,6024.0,6559.0,24336.0,20556.0,47072.0,48353.0,56544.0,130946.0,270.0,307.0,389.0,0.09478578739015242,0.1077830390571509,0.15343227898972944,0.22334851851851847,0.16572703583061876,0.24647917737789168,0.1031644022531373,0.11466709396032794,0.11687541236110066,0.17381031373441155,0.16235916985002824,0.18297997418783318
2018-01-07,4745,26123,94856,248,0.10008621993366018,0.17897379032258057,0.3156165438621242,0.3682297292738467,4349.0,6366.0,6024.0,17467.0,24336.0,20556.0,51715.0,48353.0,56544.0,251.0,270.0,307.0,0.08141802538154626,0.09478578739015242,0.1077830390571509,0.17893386454183266,0.22334851851851847,0.16572703583061876,0.0362122632442112,0.1031644022531373,0.11466709396032794,0.17003082471236583,0.17381031373441155,0.16235916985002824
2018-01-08,5934,23742,51691,310,0.09484233357038746,0.14257838709677417,0.06670037823893699,0.11741772649010462,4745.0,4349.0,6366.0,26123.0,17467.0,24336.0,94856.0,51715.0,48353.0,248.0,251.0,270.0,0.10008621993366018,0.08141802538154626,0.09478578739015242,0.17897379032258057,0.17893386454183266,0.22334851851851847,0.3156165438621242,0.0362122632442112,0.1031644022531373,0.3682297292738467,0.17003082471236583,0.17381031373441155
2018-01-09,8125,29557,68767,330,0.0879804488872569,0.09565303030303025,0.030179479951411996,-0.00434689022350839,5934.0,4745.0,4349.0,23742.0,26123.0,17467.0,51691.0,94856.0,51715.0,310.0,248.0,251.0,0.09484233357038746,0.10008621993366018,0.08141802538154626,0.14257838709677417,0.17897379032258057,0.17893386454183266,0.06670037823893699,0.3156165438621242,0.0362122632442112,0.11741772649010462,0.3682297292738467,0.17003082471236583
2018-01-10,7507,30264,76769,385,0.0760869068701861,0.16571610389610386,0.11152769772159185,0.04802089124516407,8125.0,5934.0,4745.0,29557.0,23742.0,26123.0,68767.0,51691.0,94856.0,330.0,310.0,248.0,0.0879804488872569,0.09484233357038746,0.10008621993366018,0.09565303030303025,0.14257838709677417,0.17897379032258057,0.030179479951411996,0.06670037823893699,0.3156165438621242,-0.00434689022350839,0.11741772649010462,0.3682297292738467
2018-01-11,8073,37075,94186,375,0.09914444410087264,0.09360319999999984,0.12004534405703171,0.0446665619094133,7507.0,8125.0,5934.0,30264.0,29557.0,23742.0,76769.0,68767.0,51691.0,385.0,330.0,310.0,0.0760869068701861,0.0879804488872569,0.09484233357038746,0.16571610389610386,0.09565303030303025,0.14257838709677417,0.11152769772159185,0.030179479951411996,0.06670037823893699,0.04802089124516407,-0.00434689022350839,0.11741772649010462
