,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.303030303,0.714285714,0.425531915,0.70970696,0.706521739,2.354324655,0.678851175,5
1,10,25,365,0.196428571,0.392857143,0.261904762,0.552197802,0.663043478,1.511504601,0.378306878,5
2,10,25,730,0.153061224,0.535714286,0.238095238,0.501831502,0.47826087,1.547921504,0.488721805,5
3,10,50,180,0.264705882,0.642857143,0.375,0.661172161,0.673913043,2.126937528,0.609375,5
4,10,50,365,0.185185185,0.357142857,0.243902439,0.537545788,0.663043478,1.525859862,0.344827586,5
5,10,50,730,0.16,0.571428571,0.25,0.516483516,0.47826087,1.806587999,0.52,5
6,10,100,180,0.238636364,0.75,0.362068966,0.66025641,0.597826087,2.161590771,0.692893401,5
7,10,100,365,0.188679245,0.357142857,0.24691358,0.540750916,0.668478261,1.304117819,0.345285525,5
8,10,100,730,0.163636364,0.642857143,0.260869565,0.526556777,0.445652174,1.6603152,0.577777778,5
9,10,150,180,0.25974026,0.714285714,0.380952381,0.674450549,0.64673913,2.292396658,0.669240669,5
10,10,150,365,0.169811321,0.321428571,0.222222222,0.519688645,0.657608696,1.277992223,0.310756972,5
11,10,150,730,0.133928571,0.535714286,0.214285714,0.456959707,0.402173913,1.450875337,0.480295567,5
