,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.166666667,0.5,0.25,0.525641026,0.543478261,2.034269694,0.464285714,5
1,10,25,365,0.140350877,0.285714286,0.188235294,0.485805861,0.625,1.110326916,0.274768824,5
2,10,25,730,0.24137931,0.25,0.245614035,0.554487179,0.766304348,1.296329591,0.249657064,5
3,10,50,180,0.15625,0.535714286,0.241935484,0.508241758,0.489130435,1.713222946,0.489949749,5
4,10,50,365,0.142857143,0.285714286,0.19047619,0.489010989,0.630434783,0.963757444,0.275132275,5
5,10,50,730,0.217391304,0.357142857,0.27027027,0.563186813,0.706521739,1.493226982,0.348525469,5
6,10,100,180,0.168539326,0.535714286,0.256410256,0.530677656,0.527173913,2.067459245,0.494296578,5
7,10,100,365,0.146666667,0.392857143,0.213592233,0.491300366,0.559782609,1.521705336,0.369032258,5
8,10,100,730,0.226415094,0.428571429,0.296296296,0.582875458,0.690217391,1.864168872,0.414342629,5
9,10,150,180,0.172839506,0.5,0.256880734,0.53525641,0.559782609,1.571900144,0.466069142,5
10,10,150,365,0.18,0.321428571,0.230769231,0.529304029,0.673913043,1.449234007,0.312,5
11,10,150,730,0.244444444,0.392857143,0.301369863,0.587454212,0.722826087,2.001379639,0.383892617,5
