,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.235294118,0.571428571,0.333333333,0.619047619,0.652173913,2.085806226,0.541666667,5
1,10,25,365,0.216666667,0.464285714,0.295454545,0.581501832,0.663043478,1.44052895,0.444736842,5
2,10,25,730,0.128712871,0.464285714,0.201550388,0.450091575,0.440217391,1.277314629,0.421972534,5
3,10,50,180,0.257142857,0.642857143,0.367346939,0.654761905,0.663043478,2.177699585,0.607792208,5
4,10,50,365,0.196078431,0.357142857,0.253164557,0.547161172,0.679347826,1.631338106,0.34620506,5
5,10,50,730,0.161904762,0.607142857,0.255639098,0.521520147,0.461956522,1.796139368,0.549068323,5
6,10,100,180,0.216216216,0.571428571,0.31372549,0.59981685,0.619565217,1.562487117,0.5374677,5
7,10,100,365,0.2,0.392857143,0.265060241,0.55540293,0.668478261,1.442596111,0.378807947,5
8,10,100,730,0.181034483,0.75,0.291666667,0.570512821,0.445652174,2.076487683,0.669117647,5
9,10,150,180,0.2,0.571428571,0.296296296,0.580586081,0.586956522,1.795822466,0.533333333,5
10,10,150,365,0.166666667,0.285714286,0.210526316,0.514652015,0.673913043,1.2644731,0.278074866,5
11,10,150,730,0.152542373,0.642857143,0.246575342,0.500915751,0.402173913,1.832148064,0.572127139,5
