,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.240963855,0.714285714,0.36036036,0.65521978,0.614130435,2.393616896,0.664112388,5
1,10,25,365,0.203703704,0.392857143,0.268292683,0.558608059,0.673913043,1.563035536,0.379310345,5
2,10,25,730,0.230769231,0.214285714,0.222222222,0.543040293,0.77173913,1.093032549,0.214876033,5
3,10,50,180,0.230769231,0.75,0.352941176,0.650641026,0.581521739,2.629349051,0.690265487,5
4,10,50,365,0.160714286,0.321428571,0.214285714,0.51007326,0.641304348,1.276097829,0.30952381,5
5,10,50,730,0.233333333,0.25,0.24137931,0.551282051,0.760869565,1.366477346,0.249315068,5
6,10,100,180,0.244444444,0.785714286,0.372881356,0.674908425,0.597826087,2.362579084,0.724050633,5
7,10,100,365,0.206896552,0.428571429,0.279069767,0.566849817,0.663043478,1.681939229,0.411609499,5
8,10,100,730,0.205882353,0.25,0.225806452,0.538461538,0.739130435,1.212415053,0.247956403,5
9,10,150,180,0.209302326,0.642857143,0.315789474,0.603479853,0.576086957,2.286630176,0.595419847,5
10,10,150,365,0.173076923,0.321428571,0.225,0.522893773,0.663043478,1.296006819,0.311170213,5
11,10,150,730,0.233333333,0.25,0.24137931,0.551282051,0.760869565,1.262294804,0.249315068,5
