,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.20212766,0.678571429,0.31147541,0.598901099,0.543478261,2.317083496,0.622166247,5
1,10,25,365,0.159090909,0.25,0.194444444,0.506410256,0.684782609,1.270746276,0.244623656,5
2,10,25,730,0.35,0.25,0.291666667,0.583333333,0.815217391,1.430219167,0.252777778,5
3,10,50,180,0.208791209,0.678571429,0.319327731,0.608516484,0.559782609,2.127798386,0.624525917,5
4,10,50,365,0.211538462,0.392857143,0.275,0.565018315,0.684782609,1.416046973,0.380319149,5
5,10,50,730,0.25,0.142857143,0.181818182,0.532967033,0.804347826,1.213015203,0.145251397,5
6,10,100,180,0.213333333,0.571428571,0.310679612,0.596611722,0.614130435,1.77888928,0.536774194,5
7,10,100,365,0.192307692,0.357142857,0.25,0.543956044,0.673913043,1.271417885,0.345744681,5
8,10,100,730,0.28,0.25,0.264150943,0.567307692,0.788043478,1.348303548,0.251034483,5
9,10,150,180,0.246376812,0.607142857,0.350515464,0.636904762,0.657608696,1.92712667,0.574772432,5
10,10,150,365,0.170212766,0.285714286,0.213333333,0.517857143,0.679347826,1.655361844,0.278447122,5
11,10,150,730,0.259259259,0.25,0.254545455,0.560897436,0.777173913,1.509540389,0.250343879,5
