,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.209677419,0.464285714,0.288888889,0.575091575,0.652173913,1.595586229,0.443569554,5
1,10,25,365,0.150943396,0.285714286,0.197530864,0.498626374,0.64673913,1.315315347,0.27622842,5
2,10,25,730,0.152380952,0.571428571,0.240601504,0.500457875,0.451086957,1.685435996,0.516770186,5
3,10,50,180,0.293333333,0.785714286,0.427184466,0.722985348,0.679347826,2.838469105,0.738064516,5
4,10,50,365,0.227272727,0.357142857,0.277777778,0.56959707,0.717391304,1.752886683,0.349462366,5
5,10,50,730,0.175925926,0.678571429,0.279411765,0.554029304,0.467391304,2.486258717,0.611386139,5
6,10,100,180,0.202380952,0.607142857,0.303571429,0.588827839,0.576086957,1.913075744,0.56377551,5
7,10,100,365,0.18,0.321428571,0.230769231,0.529304029,0.673913043,1.463765042,0.312,5
8,10,100,730,0.151785714,0.607142857,0.242857143,0.499084249,0.423913043,1.749799876,0.544334975,5
9,10,150,180,0.204819277,0.607142857,0.306306306,0.592032967,0.581521739,1.860453156,0.56449553,5
10,10,150,365,0.226415094,0.428571429,0.296296296,0.582875458,0.690217391,1.482429149,0.414342629,5
11,10,150,730,0.150442478,0.607142857,0.241134752,0.495879121,0.418478261,1.574526285,0.543665437,5
