,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.166666667,0.535714286,0.254237288,0.527472527,0.52173913,1.576282385,0.493670886,5
1,10,25,365,0.178571429,0.535714286,0.267857143,0.546703297,0.554347826,1.866482894,0.49744898,5
2,10,25,730,0.166666667,0.285714286,0.210526316,0.514652015,0.673913043,1.376247485,0.278074866,5
3,10,50,180,0.212765957,0.714285714,0.327868852,0.61996337,0.554347826,2.391810282,0.654911839,5
4,10,50,365,0.144444444,0.464285714,0.220338983,0.485347985,0.5,1.474829107,0.427848101,5
5,10,50,730,0.189655172,0.392857143,0.255813953,0.545787546,0.652173913,1.30078764,0.377308707,5
6,10,100,180,0.204819277,0.607142857,0.306306306,0.592032967,0.581521739,2.014827958,0.56449553,5
7,10,100,365,0.115942029,0.285714286,0.164948454,0.447344322,0.559782609,1.254183556,0.270481144,5
8,10,100,730,0.171428571,0.428571429,0.244897959,0.528388278,0.597826087,1.244807328,0.405194805,5
9,10,150,180,0.186666667,0.5,0.27184466,0.554487179,0.592391304,1.431516153,0.469677419,5
10,10,150,365,0.163934426,0.357142857,0.224719101,0.51510989,0.625,1.341929342,0.341655716,5
11,10,150,730,0.180327869,0.392857143,0.247191011,0.536172161,0.635869565,1.140183873,0.375821288,5
