,epochs,batch_size,windows,precision,recall,f1,roc_auc,accuracy,model_return,F5,
0,10,25,180,0.183098592,0.464285714,0.262626263,0.546245421,0.60326087,1.531429421,0.438391699,5
1,10,25,365,0.195121951,0.571428571,0.290909091,0.574175824,0.576086957,2.372443316,0.531969309,5
2,10,25,730,0.107843137,0.392857143,0.169230769,0.404761905,0.413043478,1.328124153,0.356608479,5
3,10,50,180,0.194805195,0.535714286,0.285714286,0.569139194,0.592391304,1.779672,0.501930502,5
4,10,50,365,0.177419355,0.392857143,0.244444444,0.532967033,0.630434783,1.199736491,0.375328084,5
5,10,50,730,0.153846154,0.5,0.235294118,0.503205128,0.505434783,1.906611934,0.460176991,5
6,10,100,180,0.153846154,0.5,0.235294118,0.503205128,0.505434783,1.770136799,0.460176991,5
7,10,100,365,0.166666667,0.5,0.25,0.525641026,0.543478261,1.950651564,0.464285714,5
8,10,100,730,0.145299145,0.607142857,0.234482759,0.483058608,0.39673913,2.475995234,0.541003672,5
9,10,150,180,0.209302326,0.642857143,0.315789474,0.603479853,0.576086957,2.186538134,0.595419847,5
10,10,150,365,0.180722892,0.535714286,0.27027027,0.549908425,0.559782609,1.582239573,0.498084291,5
11,10,150,730,0.142857143,0.5,0.222222222,0.480769231,0.467391304,1.656933327,0.456140351,5
